Age,Gender,Current_status,Field_of_study,Hours_slept,Work_hours,Hobby_hours,Commute_time,Number_of_tasks,Task_difficulty,Social_interaction_hours,Social_interaction_quality,Stressful_event,Stress_type,Home_environment,Stress_scale,Overthinking,Stress_under_pressure
18-24,Female,Employee,Teaching,7.1,8,5.1,30-60 min,5,Moderate,8,Medium,No,None,Satisfied,2,Rarely,Not stressed
25-35,Female,Both,Engineering,5.9,8,1.6,1 hour,9,Moderate,8,Medium,Yes,"Arguing/conflict with someone, Transportation problem / car issue",Satisfied,9,Rarely,Slightly stressed
18-24,Female,Both,Medicine,5.6,11,4.2,1 hour,12,Moderate,4,Medium,Yes,"Financial stress, Academic/work failure or poor performance, Bad weather",Satisfied,5,Rarely,Not stressed
25-35,Female,Student,Medicine,6.1,1,6.6,1 hour,4,Easy,5,Low,No,None,Satisfied,4,Often,Highly stressed
18-24,Female,Student,Business,7.2,2,2.4,< 30 min,7,Moderate,7,High,Yes,"Health-related stress, Bad weather, Financial stress",Satisfied,7,Often,Slightly stressed
<18,Male,Employee,Customer Service,6.2,7,2.8,1 hour,11,Hard,9,Low,Yes,Bad weather,Satisfied,9,Rarely,Highly stressed
18-24,Male,Student,Computer Science,8.4,0,5.3,30-60 min,3,Moderate,2,Medium,No,None,Satisfied,3,Never,Not stressed
18-24,Female,Employee,Other,5.1,6,6.5,1 hour,8,Hard,4,Low,Yes,"Transportation problem / car issue, Bad weather",Satisfied,6,Often,Slightly stressed
18-24,Female,Student,Arts,6.6,0,4.4,30-60 min,2,Easy,3,Medium,Yes,"Financial stress, Personal disappointment, Health-related stress",Satisfied,6,Often,Highly stressed
25-35,Male,Employee,Administration,7.4,8,5.0,< 30 min,11,Easy,10,Low,Yes,Personal disappointment,Satisfied,5,Almost always,Slightly stressed
18-24,Male,Employee,Engineering,6.5,6,2.9,> 2 hours,6,Moderate,6,Medium,Yes,"Transportation problem / car issue, Personal disappointment, Academic/work failure or poor performance",Satisfied,8,Almost always,Not stressed
25-35,Female,Employee,Teaching,7.3,9,3.8,1 hour,10,Moderate,6,Medium,No,None,Dissatisfied,4,Often,Highly stressed
18-24,Female,Student,Biology,6.3,3,5.3,< 30 min,4,Hard,5,Medium,Yes,Health-related stress,Satisfied,6,Rarely,Slightly stressed
18-24,Male,Student,Engineering,5.0,0,3.9,30-60 min,3,Hard,4,Low,Yes,"Personal disappointment, Health-related stress",Satisfied,5,Never,Not stressed
18-24,Male,Student,Arts,5.5,3,1.6,30-60 min,7,Hard,3,Low,Yes,"Financial stress, Personal disappointment, Arguing/conflict with someone",Dissatisfied,5,Almost always,Not stressed
18-24,Female,Both,IT,5.5,10,4.5,< 30 min,8,Moderate,7,Medium,Yes,Academic/work failure or poor performance,Dissatisfied,5,Often,Slightly stressed
25-35,Male,Both,Business,6.7,10,6.6,1 hour,11,Moderate,4,Medium,Yes,"Academic/work failure or poor performance, Transportation problem / car issue",Satisfied,3,Never,Not stressed
18-24,Male,Employee,Administration,7.2,8,1.8,30-60 min,6,Moderate,3,High,Yes,"Health-related stress, Transportation problem / car issue",Satisfied,5,Rarely,Not stressed
18-24,Female,Student,Computer Science,8.9,0,1.8,30-60 min,4,Easy,3,Medium,Yes,"Transportation problem / car issue, Financial stress, Personal disappointment",Satisfied,9,Rarely,Highly stressed
18-24,Female,Employee,Customer Service,5.5,8,6.3,1 hour,6,Easy,8,Medium,Yes,"Personal disappointment, Transportation problem / car issue",Dissatisfied,3,Almost always,Highly stressed
25-35,Female,Employee,Engineering,7.1,6,3.8,30-60 min,5,Easy,5,High,No,None,Satisfied,1,Often,Not stressed
18-24,Male,Student,Education,7.5,2,0.5,< 30 min,5,Hard,2,Low,No,None,Dissatisfied,2,Almost always,Slightly stressed
18-24,Female,Employee,Healthcare,6.9,7,2.4,1 hour,7,Easy,8,Medium,Yes,"Financial stress, Bad weather, Personal disappointment",Satisfied,8,Rarely,Highly stressed
<18,Male,Employee,Engineering,7.0,6,5.2,1 hour,8,Hard,10,High,Yes,"Academic/work failure or poor performance, Bad weather",Satisfied,7,Often,Highly stressed
<18,Male,Student,Medicine,7.8,3,4.8,< 30 min,6,Moderate,8,Medium,No,None,Satisfied,3,Often,Highly stressed
18-24,Male,Employee,Teaching,7.7,7,2.4,< 30 min,7,Hard,7,High,No,None,Satisfied,4,Often,Slightly stressed
25-35,Male,Student,Law,6.8,2,4.8,30-60 min,3,Moderate,4,Medium,No,None,Satisfied,1,Often,Not stressed
18-24,Female,Neither,None,7.7,2,2.9,< 30 min,2,Moderate,2,Medium,Yes,Academic/work failure or poor performance,Dissatisfied,5,Often,Slightly stressed
18-24,Female,Both,Education,4.1,9,4.5,< 30 min,11,Moderate,6,High,No,None,Satisfied,2,Rarely,Slightly stressed
<18,Male,Student,Law,8.1,0,1.9,< 30 min,4,Moderate,6,Low,No,None,Satisfied,1,Rarely,Highly stressed
<18,Female,Student,Biology,5.8,2,4.5,30-60 min,4,Moderate,7,Medium,No,None,Dissatisfied,2,Often,Highly stressed
25-35,Female,Employee,Other,6.5,8,0.9,< 30 min,9,Hard,5,High,No,None,Satisfied,4,Rarely,Slightly stressed
<18,Female,Student,Business,5.1,1,1.4,30-60 min,4,Easy,7,Low,Yes,"Academic/work failure or poor performance, Health-related stress, Transportation problem / car issue",Satisfied,5,Almost always,Not stressed
36+,Female,Employee,Freelancing,6.7,9,1.1,1 hour,7,Easy,1,High,No,None,Dissatisfied,3,Rarely,Slightly stressed
25-35,Male,Employee,Engineering,7.2,9,3.6,1 hour,10,Easy,10,Medium,Yes,"Health-related stress, Bad weather, Arguing/conflict with someone",Dissatisfied,8,Often,Slightly stressed
18-24,Male,Both,Law,4.6,8,3.5,> 2 hours,13,Easy,5,Medium,No,None,Satisfied,3,Rarely,Slightly stressed
18-24,Male,Student,Business,7.2,2,4.7,< 30 min,3,Hard,4,Medium,No,None,Dissatisfied,2,Often,Slightly stressed
36+,Female,Both,Biology,4.9,9,6.2,1 hour,13,Easy,8,Low,No,None,Satisfied,3,Often,Slightly stressed
25-35,Male,Student,Psychology,8.3,2,5.2,30-60 min,2,Moderate,1,Low,No,None,Dissatisfied,2,Almost always,Highly stressed
36+,Male,Student,Education,6.3,3,4.7,1 hour,6,Hard,6,Medium,Yes,Academic/work failure or poor performance,Satisfied,5,Almost always,Not stressed
25-35,Female,Student,Engineering,7.5,0,1.9,< 30 min,4,Moderate,8,Medium,Yes,"Arguing/conflict with someone, Bad weather",Satisfied,9,Rarely,Slightly stressed
<18,Male,Student,Engineering,5.6,3,4.5,30-60 min,7,Easy,1,High,No,None,Dissatisfied,1,Often,Not stressed
36+,Female,Employee,Engineering,5.4,6,6.2,< 30 min,7,Hard,9,High,Yes,Personal disappointment,Satisfied,9,Rarely,Highly stressed
25-35,Female,Neither,None,8.4,0,3.9,1 hour,2,Moderate,1,Medium,Yes,"Arguing/conflict with someone, Bad weather, Personal disappointment",Satisfied,4,Almost always,Slightly stressed
36+,Female,Student,Law,8.2,0,1.7,30-60 min,2,Moderate,5,Low,No,None,Satisfied,2,Almost always,Slightly stressed
18-24,Male,Student,Psychology,7.6,3,4.6,< 30 min,7,Moderate,4,High,No,None,Satisfied,5,Often,Not stressed
36+,Male,Student,Computer Science,7.1,2,1.9,< 30 min,5,Hard,1,Low,Yes,"Bad weather, Arguing/conflict with someone, Health-related stress",Satisfied,3,Often,Highly stressed
25-35,Male,Both,Engineering,6.6,9,4.9,30-60 min,10,Easy,9,Medium,Yes,"Financial stress, Academic/work failure or poor performance",Satisfied,6,Never,Highly stressed
18-24,Male,Employee,Administration,6.1,9,1.4,1 hour,10,Hard,4,Low,Yes,Health-related stress,Satisfied,6,Never,Slightly stressed
18-24,Female,Employee,Administration,6.3,9,6.7,30-60 min,6,Easy,8,High,No,None,Satisfied,1,Often,Highly stressed
<18,Female,Both,Psychology,4.4,8,1.4,< 30 min,11,Moderate,7,Medium,Yes,"Transportation problem / car issue, Academic/work failure or poor performance",Satisfied,9,Often,Not stressed
36+,Male,Employee,IT,7.5,8,2.2,30-60 min,7,Moderate,10,Medium,Yes,Health-related stress,Satisfied,8,Rarely,Slightly stressed
18-24,Female,Both,Finance,5.5,8,6.5,30-60 min,11,Hard,6,Medium,Yes,"Personal disappointment, Health-related stress",Satisfied,8,Rarely,Slightly stressed
18-24,Female,Student,Education,6.9,3,4.3,> 2 hours,4,Easy,6,Low,Yes,Academic/work failure or poor performance,Dissatisfied,7,Almost always,Slightly stressed
<18,Female,Both,Administration,4.9,11,5.3,30-60 min,14,Easy,9,Low,No,None,Satisfied,2,Often,Highly stressed
<18,Female,Student,Business,8.2,2,5.1,< 30 min,4,Easy,4,Low,Yes,"Bad weather, Academic/work failure or poor performance, Arguing/conflict with someone",Satisfied,8,Often,Slightly stressed
18-24,Female,Employee,Teaching,5.6,6,5.9,1 hour,10,Moderate,1,High,No,None,Satisfied,4,Rarely,Slightly stressed
36+,Male,Student,Psychology,7.2,3,5.3,< 30 min,5,Moderate,2,Low,No,None,Satisfied,5,Often,Slightly stressed
25-35,Female,Both,Psychology,4.7,9,5.6,> 2 hours,13,Moderate,7,Medium,Yes,Health-related stress,Dissatisfied,6,Often,Highly stressed
36+,Male,Student,Psychology,8.9,1,5.5,1 hour,5,Easy,3,Medium,No,None,Satisfied,3,Often,Highly stressed
18-24,Male,Both,Customer Service,4.8,10,6.5,1 hour,11,Easy,4,Low,No,None,Dissatisfied,1,Almost always,Not stressed
18-24,Female,Both,Psychology,6.8,10,3.6,30-60 min,13,Moderate,3,Medium,Yes,"Bad weather, Transportation problem / car issue",Dissatisfied,6,Rarely,Highly stressed
25-35,Female,Student,Medicine,7.8,3,5.8,< 30 min,4,Easy,10,Low,No,None,Satisfied,5,Often,Highly stressed
18-24,Female,Both,Education,4.4,10,2.6,30-60 min,12,Moderate,6,High,Yes,"Personal disappointment, Financial stress",Satisfied,8,Rarely,Not stressed
18-24,Male,Student,Psychology,7.9,1,6.7,< 30 min,2,Easy,6,High,Yes,"Financial stress, Personal disappointment",Satisfied,7,Often,Highly stressed
18-24,Female,Both,Education,5.1,8,5.0,< 30 min,13,Easy,10,Low,Yes,Health-related stress,Satisfied,3,Often,Slightly stressed
<18,Female,Student,Biology,6.4,3,6.6,30-60 min,3,Hard,5,High,Yes,"Academic/work failure or poor performance, Financial stress, Health-related stress",Satisfied,3,Almost always,Slightly stressed
18-24,Male,Employee,Teaching,7.8,6,6.3,1 hour,5,Moderate,6,Medium,Yes,"Health-related stress, Bad weather",Satisfied,4,Rarely,Not stressed
18-24,Male,Employee,Healthcare,6.6,7,6.6,30-60 min,9,Moderate,3,Medium,Yes,"Financial stress, Personal disappointment, Bad weather",Satisfied,4,Rarely,Slightly stressed
18-24,Female,Employee,Engineering,6.5,9,1.2,30-60 min,5,Easy,6,High,Yes,"Health-related stress, Financial stress, Transportation problem / car issue",Satisfied,9,Often,Highly stressed
25-35,Male,Both,Law,4.8,10,6.1,< 30 min,12,Hard,5,Medium,Yes,"Personal disappointment, Financial stress",Satisfied,5,Almost always,Slightly stressed
18-24,Male,Employee,Healthcare,7.0,6,4.6,1 hour,5,Easy,10,Medium,Yes,Bad weather,Dissatisfied,6,Rarely,Slightly stressed
18-24,Female,Employee,Customer Service,6.1,6,3.9,< 30 min,8,Hard,8,Medium,Yes,Personal disappointment,Satisfied,3,Almost always,Highly stressed
18-24,Male,Employee,IT,6.3,7,4.3,1 hour,11,Hard,8,Medium,No,None,Dissatisfied,1,Often,Slightly stressed
25-35,Male,Employee,Other,7.3,7,2.5,< 30 min,7,Easy,8,Medium,No,None,Satisfied,3,Often,Slightly stressed
18-24,Male,Employee,Engineering,5.4,8,1.9,30-60 min,11,Easy,5,Medium,No,None,Satisfied,3,Often,Slightly stressed
<18,Male,Employee,Administration,7.2,6,2.3,> 2 hours,9,Easy,3,High,Yes,"Transportation problem / car issue, Personal disappointment",Satisfied,7,Rarely,Slightly stressed
<18,Male,Employee,Administration,6.7,9,5.1,1 hour,11,Easy,2,Medium,Yes,"Academic/work failure or poor performance, Transportation problem / car issue",Satisfied,5,Often,Highly stressed
25-35,Female,Both,Computer Science,5.5,10,1.8,30-60 min,14,Easy,8,Medium,Yes,Arguing/conflict with someone,Satisfied,6,Often,Highly stressed
18-24,Female,Employee,Healthcare,6.0,9,3.2,30-60 min,9,Moderate,2,Low,No,None,Satisfied,5,Rarely,Not stressed
36+,Male,Employee,Healthcare,7.3,9,3.6,30-60 min,8,Easy,10,Low,Yes,"Bad weather, Academic/work failure or poor performance, Transportation problem / car issue",Dissatisfied,3,Never,Slightly stressed
36+,Female,Employee,IT,5.9,8,5.5,< 30 min,8,Easy,1,Low,No,None,Satisfied,1,Rarely,Not stressed
25-35,Male,Employee,Engineering,5.6,8,3.0,1 hour,5,Moderate,9,Medium,Yes,"Personal disappointment, Financial stress",Satisfied,5,Often,Slightly stressed
18-24,Male,Student,Computer Science,7.8,2,6.7,< 30 min,2,Moderate,4,Low,No,None,Satisfied,5,Often,Highly stressed
25-35,Female,Both,Other,6.2,10,4.3,30-60 min,10,Easy,9,Medium,No,None,Satisfied,1,Rarely,Slightly stressed
18-24,Female,Student,Computer Science,8.5,3,6.9,< 30 min,6,Hard,10,Low,Yes,Health-related stress,Dissatisfied,8,Often,Slightly stressed
25-35,Female,Both,Teaching,6.6,8,1.1,1 hour,9,Easy,7,Low,No,None,Satisfied,1,Almost always,Highly stressed
<18,Male,Student,Education,7.9,3,3.6,30-60 min,7,Easy,10,Medium,No,None,Satisfied,5,Often,Not stressed
18-24,Female,Employee,Other,7.2,6,3.8,30-60 min,5,Easy,1,High,Yes,"Bad weather, Personal disappointment",Dissatisfied,6,Almost always,Highly stressed
25-35,Male,Student,Biology,8.3,3,2.9,< 30 min,2,Easy,5,High,No,None,Satisfied,1,Often,Not stressed
18-24,Male,Both,Medicine,4.0,10,1.9,30-60 min,9,Easy,2,Medium,No,None,Satisfied,2,Often,Slightly stressed
25-35,Male,Employee,Customer Service,7.1,6,2.1,30-60 min,6,Easy,10,Medium,No,None,Dissatisfied,1,Almost always,Highly stressed
36+,Male,Employee,Freelancing,7.5,8,7.0,30-60 min,6,Easy,5,Medium,No,None,Satisfied,2,Rarely,Slightly stressed
36+,Male,Student,Business,7.4,2,5.1,< 30 min,2,Easy,10,Medium,Yes,"Arguing/conflict with someone, Personal disappointment",Satisfied,5,Often,Highly stressed
18-24,Female,Student,Computer Science,6.9,3,5.1,< 30 min,2,Hard,7,Medium,Yes,"Financial stress, Academic/work failure or poor performance",Dissatisfied,8,Rarely,Not stressed
25-35,Female,Employee,Freelancing,6.5,9,1.6,30-60 min,6,Moderate,4,Medium,Yes,Financial stress,Satisfied,4,Often,Slightly stressed
25-35,Male,Both,Engineering,5.9,9,6.2,< 30 min,10,Moderate,2,Low,No,None,Satisfied,2,Almost always,Slightly stressed
18-24,Male,Both,Psychology,6.3,8,2.2,1 hour,13,Moderate,4,Low,Yes,"Academic/work failure or poor performance, Personal disappointment",Satisfied,8,Almost always,Slightly stressed
18-24,Female,Student,Business,8.7,0,3.6,< 30 min,3,Hard,4,High,Yes,"Personal disappointment, Bad weather, Academic/work failure or poor performance",Satisfied,5,Often,Highly stressed
18-24,Female,Student,Medicine,7.5,2,2.6,> 2 hours,4,Moderate,10,High,Yes,Health-related stress,Satisfied,7,Rarely,Slightly stressed
18-24,Female,Student,Education,6.5,0,2.1,< 30 min,4,Easy,7,High,Yes,"Health-related stress, Personal disappointment, Bad weather",Dissatisfied,7,Often,Slightly stressed
<18,Male,Student,Business,5.4,1,2.9,1 hour,3,Hard,1,Low,Yes,Transportation problem / car issue,Satisfied,4,Rarely,Slightly stressed
36+,Female,Both,Law,6.3,9,3.2,> 2 hours,13,Hard,6,Low,No,None,Satisfied,3,Often,Slightly stressed
25-35,Female,Student,Law,8.0,2,3.2,1 hour,6,Hard,2,Medium,Yes,Personal disappointment,Satisfied,7,Rarely,Highly stressed
<18,Male,Student,Medicine,5.0,2,3.9,< 30 min,6,Moderate,2,Low,Yes,"Academic/work failure or poor performance, Financial stress, Health-related stress",Satisfied,6,Rarely,Slightly stressed
<18,Female,Employee,Freelancing,5.1,9,6.9,< 30 min,6,Moderate,4,Medium,No,None,Satisfied,5,Rarely,Highly stressed
18-24,Female,Both,Administration,5.5,8,3.1,30-60 min,9,Easy,3,High,Yes,"Health-related stress, Transportation problem / car issue, Bad weather",Satisfied,8,Rarely,Slightly stressed
36+,Female,Employee,Healthcare,6.3,7,6.1,> 2 hours,7,Moderate,3,High,No,None,Satisfied,4,Often,Not stressed
36+,Male,Student,Engineering,5.8,2,3.1,< 30 min,5,Moderate,6,Medium,No,None,Satisfied,3,Often,Highly stressed
36+,Male,Student,Medicine,8.4,1,3.0,> 2 hours,5,Easy,8,Low,Yes,"Health-related stress, Financial stress, Transportation problem / car issue",Satisfied,3,Never,Slightly stressed
36+,Male,Student,Arts,5.2,3,6.8,1 hour,6,Easy,3,Medium,No,None,Satisfied,2,Almost always,Slightly stressed
18-24,Male,Employee,IT,6.7,8,2.5,30-60 min,6,Hard,8,High,Yes,"Academic/work failure or poor performance, Arguing/conflict with someone",Dissatisfied,6,Almost always,Slightly stressed
25-35,Male,Student,Education,8.3,2,6.8,< 30 min,6,Moderate,1,Medium,Yes,Academic/work failure or poor performance,Satisfied,7,Often,Highly stressed
36+,Male,Both,Medicine,6.0,10,1.2,> 2 hours,13,Hard,9,Medium,Yes,"Arguing/conflict with someone, Health-related stress",Satisfied,5,Often,Slightly stressed
25-35,Female,Employee,IT,7.1,7,1.0,30-60 min,10,Easy,3,Medium,Yes,"Financial stress, Personal disappointment",Satisfied,3,Often,Slightly stressed
25-35,Female,Student,Law,7.7,3,5.4,30-60 min,5,Easy,1,Medium,Yes,"Health-related stress, Financial stress",Dissatisfied,5,Almost always,Not stressed
18-24,Female,Employee,Other,6.5,6,5.4,< 30 min,7,Easy,4,High,No,None,Dissatisfied,1,Often,Highly stressed
18-24,Female,Employee,Engineering,6.2,8,2.5,< 30 min,10,Easy,6,Medium,Yes,"Academic/work failure or poor performance, Transportation problem / car issue",Satisfied,9,Often,Slightly stressed
18-24,Female,Employee,Freelancing,5.5,6,4.3,30-60 min,7,Easy,2,High,No,None,Satisfied,4,Often,Not stressed
18-24,Female,Employee,Engineering,5.8,6,7.0,1 hour,9,Easy,10,Low,Yes,Academic/work failure or poor performance,Dissatisfied,6,Rarely,Not stressed
18-24,Male,Both,Education,5.1,11,1.6,1 hour,12,Moderate,2,High,Yes,Financial stress,Dissatisfied,7,Rarely,Not stressed
18-24,Male,Student,Law,6.1,2,6.9,< 30 min,3,Moderate,6,High,Yes,Academic/work failure or poor performance,Satisfied,7,Often,Not stressed
<18,Male,Student,Arts,8.8,0,3.7,< 30 min,5,Hard,8,Low,Yes,Transportation problem / car issue,Satisfied,9,Often,Slightly stressed
25-35,Male,Student,Education,8.9,3,4.8,< 30 min,4,Hard,5,Low,No,None,Satisfied,4,Often,Highly stressed
36+,Male,Both,Biology,5.8,9,0.7,30-60 min,11,Hard,7,Low,Yes,"Academic/work failure or poor performance, Health-related stress",Dissatisfied,3,Almost always,Slightly stressed
36+,Female,Student,Biology,7.6,3,5.6,< 30 min,7,Hard,3,Medium,Yes,"Health-related stress, Arguing/conflict with someone",Satisfied,4,Never,Slightly stressed
36+,Female,Student,Psychology,6.0,2,2.2,< 30 min,6,Easy,8,High,Yes,Arguing/conflict with someone,Satisfied,5,Rarely,Slightly stressed
<18,Male,Neither,None,8.8,0,2.6,30-60 min,3,Easy,6,Low,No,None,Satisfied,1,Often,Highly stressed
18-24,Female,Student,Arts,5.9,0,3.2,< 30 min,2,Moderate,6,High,Yes,Arguing/conflict with someone,Satisfied,4,Often,Slightly stressed
18-24,Male,Employee,Engineering,7.8,8,1.9,30-60 min,8,Moderate,10,High,Yes,"Academic/work failure or poor performance, Transportation problem / car issue",Satisfied,7,Often,Slightly stressed
36+,Female,Student,Psychology,6.7,1,2.1,30-60 min,5,Moderate,8,High,Yes,"Transportation problem / car issue, Personal disappointment",Satisfied,9,Never,Slightly stressed
18-24,Female,Student,Psychology,5.2,0,3.3,1 hour,7,Easy,5,Medium,Yes,"Personal disappointment, Health-related stress",Satisfied,5,Rarely,Slightly stressed
25-35,Male,Employee,Engineering,7.9,6,6.4,30-60 min,11,Moderate,1,Medium,Yes,Transportation problem / car issue,Satisfied,9,Often,Slightly stressed
25-35,Female,Both,Biology,6.1,9,4.5,30-60 min,10,Hard,10,Medium,Yes,Bad weather,Satisfied,3,Often,Highly stressed
18-24,Male,Employee,IT,5.6,8,5.3,30-60 min,7,Easy,9,Low,Yes,Arguing/conflict with someone,Satisfied,8,Never,Slightly stressed
36+,Female,Employee,IT,7.5,6,4.0,> 2 hours,6,Moderate,10,Medium,No,None,Satisfied,4,Often,Slightly stressed
18-24,Female,Student,Engineering,7.9,1,2.5,30-60 min,6,Easy,5,High,No,None,Dissatisfied,3,Almost always,Slightly stressed
25-35,Male,Employee,Teaching,6.7,8,5.2,30-60 min,8,Moderate,8,High,No,None,Satisfied,5,Often,Slightly stressed
25-35,Male,Employee,Finance,7.5,6,0.8,< 30 min,5,Easy,4,Medium,Yes,"Bad weather, Personal disappointment",Satisfied,7,Rarely,Slightly stressed
18-24,Female,Employee,Freelancing,5.1,9,1.6,30-60 min,10,Moderate,6,Medium,Yes,Financial stress,Satisfied,8,Often,Slightly stressed
25-35,Female,Student,Law,6.9,0,5.2,< 30 min,2,Easy,3,Medium,Yes,"Academic/work failure or poor performance, Bad weather",Dissatisfied,8,Rarely,Slightly stressed
18-24,Male,Neither,None,7.7,2,5.2,< 30 min,4,Hard,3,Low,Yes,"Bad weather, Personal disappointment",Satisfied,3,Rarely,Not stressed
25-35,Male,Employee,Engineering,5.4,8,3.8,< 30 min,10,Moderate,1,Low,Yes,Arguing/conflict with someone,Satisfied,4,Often,Slightly stressed
18-24,Male,Employee,Freelancing,6.6,9,4.2,> 2 hours,7,Easy,4,High,Yes,"Academic/work failure or poor performance, Personal disappointment, Health-related stress",Satisfied,3,Often,Slightly stressed
25-35,Female,Employee,Customer Service,5.4,7,4.8,> 2 hours,5,Easy,7,Low,No,None,Satisfied,5,Rarely,Highly stressed
<18,Female,Student,Law,9.0,2,5.5,30-60 min,3,Hard,3,Medium,No,None,Dissatisfied,1,Never,Slightly stressed
18-24,Female,Student,Business,6.6,3,1.7,< 30 min,7,Easy,4,Medium,No,None,Dissatisfied,4,Almost always,Slightly stressed
18-24,Female,Employee,Engineering,7.5,7,2.2,1 hour,8,Hard,4,Low,Yes,Health-related stress,Dissatisfied,5,Rarely,Highly stressed
25-35,Male,Student,Engineering,6.3,3,4.1,1 hour,2,Hard,6,Low,Yes,Academic/work failure or poor performance,Satisfied,5,Almost always,Slightly stressed
18-24,Female,Student,Medicine,8.1,0,2.4,30-60 min,7,Hard,8,High,Yes,"Health-related stress, Arguing/conflict with someone",Dissatisfied,4,Never,Slightly stressed
18-24,Male,Student,Business,7.7,3,1.0,30-60 min,5,Moderate,5,High,No,None,Dissatisfied,1,Often,Not stressed
<18,Male,Neither,None,6.8,2,1.6,< 30 min,1,Easy,5,Medium,Yes,"Health-related stress, Academic/work failure or poor performance, Personal disappointment",Satisfied,7,Almost always,Slightly stressed
18-24,Female,Both,Administration,4.8,8,1.7,30-60 min,8,Hard,5,Medium,Yes,"Health-related stress, Transportation problem / car issue",Satisfied,6,Rarely,Highly stressed
18-24,Male,Student,Biology,8.0,3,2.8,30-60 min,5,Hard,8,Medium,Yes,"Academic/work failure or poor performance, Health-related stress",Satisfied,7,Rarely,Highly stressed
36+,Female,Both,IT,5.7,9,6.5,1 hour,13,Easy,2,High,Yes,"Arguing/conflict with someone, Health-related stress, Financial stress",Satisfied,4,Rarely,Slightly stressed
25-35,Female,Employee,Administration,7.4,8,4.4,30-60 min,9,Hard,10,Low,No,None,Satisfied,3,Never,Highly stressed
36+,Male,Employee,Engineering,7.8,8,4.5,30-60 min,9,Moderate,10,Medium,Yes,"Arguing/conflict with someone, Transportation problem / car issue, Personal disappointment",Dissatisfied,5,Often,Slightly stressed
<18,Male,Employee,Finance,6.0,8,1.7,30-60 min,9,Easy,5,High,Yes,"Transportation problem / car issue, Academic/work failure or poor performance, Bad weather",Satisfied,4,Often,Slightly stressed
25-35,Male,Employee,Engineering,6.7,7,1.2,30-60 min,5,Easy,3,Low,Yes,Bad weather,Satisfied,7,Often,Highly stressed
25-35,Male,Employee,Administration,6.4,9,1.6,< 30 min,5,Moderate,8,High,Yes,"Academic/work failure or poor performance, Arguing/conflict with someone, Bad weather",Satisfied,7,Often,Highly stressed
25-35,Female,Student,Computer Science,6.3,1,4.9,30-60 min,3,Moderate,2,Medium,Yes,"Personal disappointment, Transportation problem / car issue, Arguing/conflict with someone",Satisfied,4,Almost always,Slightly stressed
36+,Male,Both,Education,4.1,8,6.2,1 hour,13,Easy,8,Medium,Yes,Bad weather,Satisfied,5,Rarely,Slightly stressed
18-24,Male,Student,Education,5.9,3,2.3,30-60 min,2,Hard,6,Medium,No,None,Satisfied,4,Often,Slightly stressed
<18,Female,Student,Law,7.4,0,6.2,30-60 min,2,Easy,10,High,Yes,"Financial stress, Arguing/conflict with someone",Satisfied,4,Often,Highly stressed
36+,Female,Neither,None,6.4,1,0.8,< 30 min,4,Easy,9,Medium,No,None,Dissatisfied,5,Often,Highly stressed
18-24,Male,Both,Finance,5.0,8,2.5,< 30 min,9,Easy,5,Low,No,None,Satisfied,3,Often,Highly stressed
18-24,Female,Employee,Freelancing,5.3,7,5.8,1 hour,7,Easy,7,Low,No,None,Satisfied,3,Rarely,Slightly stressed
36+,Male,Employee,Other,6.7,6,1.2,1 hour,6,Moderate,5,Medium,Yes,"Bad weather, Academic/work failure or poor performance",Satisfied,5,Often,Slightly stressed
<18,Male,Student,Law,5.7,2,1.2,30-60 min,3,Moderate,8,Medium,No,None,Dissatisfied,4,Almost always,Highly stressed
18-24,Male,Student,Arts,7.5,3,3.6,< 30 min,3,Easy,7,Medium,No,None,Dissatisfied,5,Rarely,Highly stressed
18-24,Male,Employee,Finance,5.3,7,2.6,1 hour,9,Moderate,3,Medium,Yes,Arguing/conflict with someone,Satisfied,7,Never,Slightly stressed
<18,Female,Student,Law,6.1,0,2.9,30-60 min,6,Moderate,5,Medium,No,None,Satisfied,5,Often,Slightly stressed
36+,Male,Employee,Customer Service,5.9,9,5.1,30-60 min,6,Easy,7,High,Yes,"Bad weather, Health-related stress, Personal disappointment",Satisfied,4,Almost always,Highly stressed
25-35,Male,Student,Medicine,7.5,3,4.3,30-60 min,7,Moderate,2,High,Yes,"Financial stress, Academic/work failure or poor performance, Transportation problem / car issue",Satisfied,8,Rarely,Highly stressed
18-24,Male,Student,Business,7.7,0,4.4,1 hour,4,Easy,9,Medium,Yes,Academic/work failure or poor performance,Satisfied,6,Rarely,Highly stressed
18-24,Male,Both,Medicine,5.4,8,6.7,30-60 min,13,Easy,6,Medium,No,None,Satisfied,3,Often,Slightly stressed
25-35,Male,Student,Psychology,8.5,2,5.1,30-60 min,7,Easy,6,High,No,None,Dissatisfied,1,Often,Slightly stressed
18-24,Male,Both,Psychology,6.3,8,2.7,30-60 min,11,Hard,5,Medium,Yes,Personal disappointment,Satisfied,4,Rarely,Slightly stressed
18-24,Male,Student,Engineering,5.7,0,5.6,> 2 hours,3,Hard,4,Medium,Yes,Health-related stress,Satisfied,4,Rarely,Slightly stressed
25-35,Female,Student,Biology,8.4,1,4.7,< 30 min,7,Hard,8,Low,Yes,"Transportation problem / car issue, Health-related stress, Arguing/conflict with someone",Satisfied,3,Often,Highly stressed
18-24,Female,Both,Law,4.3,10,6.7,1 hour,8,Easy,9,Medium,No,None,Satisfied,1,Almost always,Not stressed
